dish_family_id,category_id,is_primary
fam-wd-q152088,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q137785263,cat-salads-aa3e870c,true
fam-wd-q152834,cat-salads-aa3e870c,true
fam-wd-q379138,cat-confections-and-sweets-33dd665f,true
fam-wd-q109820549,cat-breads-and-loaves-c2814f9c,true
fam-wd-q5522421,cat-salads-aa3e870c,true
fam-wd-q15121455,cat-soups-58c2caa7,true
fam-wd-q683495,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q1146771,cat-seafood-dishes-67642233,true
fam-wd-q1533235,cat-pasta-dishes-18ec3e4d,true
fam-wd-q25220535,cat-soups-58c2caa7,true
fam-wd-q205762,cat-stews-ce00fa93,true
fam-wd-q713869,cat-puddings-and-custards-1664b0f1,true
fam-wd-q240801,cat-salads-aa3e870c,true
fam-wd-q24027629,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q5643900,cat-breads-and-loaves-c2814f9c,true
fam-wd-q6663,cat-burgers-09c6dfae,true
fam-wd-q111938080,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q590076,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q97609970,cat-breads-and-loaves-c2814f9c,true
fam-wd-q16928375,cat-soups-58c2caa7,true
fam-wd-q109409667,cat-seafood-dishes-67642233,true
fam-wd-q2445410,cat-rice-dishes-e5a0eea5,true
fam-wd-q16182271,cat-noodle-dishes-f57723d0,true
fam-wd-q263351,cat-noodle-dishes-f57723d0,true
fam-wd-q6038850,cat-rice-dishes-e5a0eea5,true
fam-wd-q2904240,cat-salads-aa3e870c,true
fam-wd-q120961670,cat-pies-and-pastries-eefde59e,true
fam-wd-q715040,cat-noodle-dishes-f57723d0,true
fam-wd-q30671978,cat-rice-dishes-e5a0eea5,true
fam-wd-q19746552,cat-rice-dishes-e5a0eea5,true
fam-wd-q2202018,cat-breads-and-loaves-c2814f9c,true
fam-wd-q816663,cat-rice-dishes-e5a0eea5,true
fam-wd-q11676485,cat-noodle-dishes-f57723d0,true
fam-wd-q6009729,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q19573003,cat-noodle-dishes-f57723d0,true
fam-wd-q122782077,cat-sauces-and-condiments-10f97308,true
fam-wd-q125457823,cat-seafood-dishes-67642233,true
fam-wd-q85773496,cat-rice-dishes-e5a0eea5,true
fam-wd-q1124851,cat-noodle-dishes-f57723d0,true
fam-wd-q123910268,cat-confections-and-sweets-33dd665f,true
fam-wd-q85774221,cat-dips-and-spreads-3b58ecf2,true
fam-wd-q6403206,cat-rice-dishes-e5a0eea5,true
fam-wd-q6404116,cat-rice-dishes-e5a0eea5,true
fam-wd-q13096825,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q125745103,cat-rice-dishes-e5a0eea5,true
fam-wd-q28455614,cat-stews-ce00fa93,true
fam-wd-q1197104,cat-noodle-dishes-f57723d0,true
fam-wd-q109539600,cat-pies-and-pastries-eefde59e,true
fam-wd-q55285600,cat-rice-dishes-e5a0eea5,true
fam-wd-q20034,cat-pasta-dishes-18ec3e4d,true
fam-wd-q1827035,cat-soups-58c2caa7,true
fam-wd-q281385,cat-noodle-dishes-f57723d0,true
fam-wd-q121027105,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q2894864,cat-seafood-dishes-67642233,true
fam-wd-q1105512,cat-skewers-and-grilled-dishes-08780632,true
