dish_family_id,technique_id,role,is_core,weight
fam-wd-q2975184,tec-braise-4a3832ff,core,true,0.850
fam-wd-q2975184,tec-griddle-717e3046,supporting,false,0.700
fam-wd-q16965840,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q16965840,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q1093380,tec-slice-c5c54944,core,true,1.000
fam-wd-q1093380,tec-toast-033b5dd6,core,true,0.850
fam-wd-q8077757,tec-chop-1d857e6f,core,true,1.000
fam-wd-q8077757,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q8077757,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q136393848,tec-bake-6c2c6bda,core,true,0.850
fam-wd-q136393848,tec-gratin-fe263c69,supporting,false,0.700
fam-wd-q70241,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q70241,tec-puree-c8c7256b,core,true,0.850
