id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q19725078,dadar-gulung,dadar gulung,dadar gulung,Canonical starter dish entry for dadar gulung. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q787497,Q19725078,Dadar gulung,,552,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q55642975,daetong-bap,Daetong-bap,daetong bap,Canonical starter dish entry for Daetong-bap. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q55642975,Daetong-bap,,553,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q3234514,dagang-rice,Dagang rice,dagang rice,Canonical starter dish entry for Dagang rice. Seeded from Wikidata with an English Wikipedia sitelink.,cat-rice-dishes-e5a0eea5,,Q3234514,Nasi dagang,,554,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2785975,dagobert,dagobert,dagobert,Canonical starter dish entry for dagobert. Origin: Belgium. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-belgian-f69a2115,Q2785975,Dagobert (sandwich),,555,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5208692,dagwood-sandwich,Dagwood sandwich,dagwood sandwich,Canonical starter dish entry for Dagwood sandwich. Associated cuisine: cuisine of the United States. Origin: United States. Seeded from Wikidata with an English Wikipedia sitelink.,cat-sandwiches-116c3e15,cui-american-60d23958,Q5208692,Dagwood sandwich,,556,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5208800,dahi-baigana,Dahi baigana,dahi baigana,Canonical starter dish entry for Dahi baigana. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192087,Q5208800,Dahi baigana,,557,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q762285,dakos,Dakos,dakos,Canonical starter dish entry for Dakos. Origin: Greece. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q744027,Q762285,Dakos,,558,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2723206,dal-baati,Dal baati,dal baati,Canonical starter dish entry for Dal baati. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q2723206,Dal bati,,559,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q929364,dal-bhat,Dal bhat,dal bhat,Canonical starter dish entry for Dal bhat. Origin: Nepal. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q1194855,Q929364,Dal bhat,,560,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q128006259,dal-pitha,Dal Pitha,dal pitha,Canonical starter dish entry for Dal Pitha. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q128006259,Dal Pitha,,561,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q126961970,dal-tadka,Dal Tadka,dal tadka,Canonical starter dish entry for Dal Tadka. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192087,Q126961970,Dal tadka,,562,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
