id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
fam-sevai-12a69f51,Sevai,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-sevai-12a69f51,9
fam-faloodeh-0b1fbbb9,Faloodeh,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-faloodeh-0b1fbbb9,9
fam-chicken-noodle-soup-7884a0ba,Chicken noodle soup,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-chicken-noodle-soup-7884a0ba,9
fam-chicken-riggies-23a69181,Chicken riggies,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-chicken-riggies-23a69181,9
fam-kraft-dinner-215f48ff,Kraft Dinner,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-kraft-dinner-215f48ff,9
fam-saimin-fdfbc4e1,Saimin,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-saimin-fdfbc4e1,9
fam-arroz-chaufa-5e4477bc,Arroz chaufa,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-arroz-chaufa-5e4477bc,9
fam-tallarin-saltado-e90768fd,Tallarín saltado,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-tallarin-saltado-e90768fd,9
fam-kugel-6bc8db62,Kugel,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-kugel-6bc8db62,9
fam-roso-0225a35d,Rosół,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-roso-0225a35d,9
fam-rechta-a797c14f,Rechta,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-rechta-a797c14f,9
fam-koshary-41e89d90,Koshary,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-koshary-41e89d90,9
fam-a-simple-pho-dish-68edde8a,A simple pho dish,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-a-simple-pho-dish-68edde8a,9
fam-pad-thai-from-a-street-stall-in-chiang-mai-e0703996,Pad Thai from a street stall in Chiang Mai,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-pad-thai-from-a-street-stall-in-chiang-mai-e0703996,9
fam-bun-bo-hue-d17bed6c,Bún bò Huế,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-bun-bo-hue-d17bed6c,9
fam-fried-noodles-990eee80,Fried noodles,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-fried-noodles-990eee80,9
fam-broth-3e91595e,Broth,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-broth-3e91595e,9
fam-chowder-75162bc4,Chowder,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-chowder-75162bc4,9
fam-fish-soup-94f8f39b,Fish soup,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-fish-soup-94f8f39b,9
fam-fruit-soup-4687b0f4,Fruit soup,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-fruit-soup-4687b0f4,9
fam-cream-soup-c64c9ccb,Cream soup,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-cream-soup-c64c9ccb,9
fam-stew-b02cc0b0,Stew,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-stew-b02cc0b0,9
fam-stock-food-a65e1a5f,Stock (food),dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-stock-food-a65e1a5f,9
fam-three-grand-soups-52c451e6,Three grand soups,dish_family,cat-soups-58c2caa7,,cat-soups-58c2caa7,fam-three-grand-soups-52c451e6,9
fam-fish-stew-3a26a59e,Fish stew,dish_family,cat-stews-ce00fa93,,cat-stews-ce00fa93,fam-fish-stew-3a26a59e,9
fam-aiwowo-9c0986b9,Aiwowo,dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-aiwowo-9c0986b9,9
fam-insalata-di-riso-159e6d48,Insalata di riso,dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-insalata-di-riso-159e6d48,9
fam-kanika-food-0798b6dd,Kanika (food),dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-kanika-food-0798b6dd,9
fam-kfc-rice-a2f3912a,KFC rice,dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-kfc-rice-a2f3912a,9
fam-lentil-rice-15edb98e,Lentil rice,dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-lentil-rice-15edb98e,9
fam-sayadieh-60e3440e,Sayadieh,dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-sayadieh-60e3440e,9
fam-arabic-rice-42d5b90d,Arabic rice,dish_family,cat-rice-dishes-e5a0eea5,,cat-rice-dishes-e5a0eea5,fam-arabic-rice-42d5b90d,9
fam-tex-mex-7e94ec3f,Tex-Mex,dish_family,cat-snacks-and-street-food-7e6d6760,cui-american-60d23958,cat-snacks-and-street-food-7e6d6760,fam-tex-mex-7e94ec3f,9
dish-wd-q119496294,10 Won Bread,dish,fam-wd-q119496294,cui-wd-q647500,cat-breads-and-loaves-c2814f9c,fam-wd-q119496294,8
dish-wd-q130265510,3-in-1,dish,fam-wd-q130265510,cui-wd-q1068545,,fam-wd-q130265510,8
dish-wd-q65248056,Aakkoset,dish,fam-wd-q65248056,,,fam-wd-q65248056,8
dish-wd-q3603155,Abbamele,dish,fam-wd-q3603155,cui-wd-q192786,,fam-wd-q3603155,8
dish-wd-q85850163,Aboukir,dish,fam-wd-q85850163,,,fam-wd-q85850163,8
dish-wd-q65091072,Abula,dish,fam-wd-q65091072,cui-wd-q7033037,,fam-wd-q65091072,8
dish-wd-q64490692,Abunuabunu,dish,fam-wd-q64490692,,,fam-wd-q64490692,8
dish-wd-q4073388,Achma,dish,fam-wd-q4073388,cui-wd-q1199026,,fam-wd-q4073388,8
dish-wd-q85739611,Achu soup,dish,fam-wd-q85739611,,cat-soups-58c2caa7,fam-wd-q85739611,8
dish-wd-q7309432,Açorda,dish,fam-wd-q7309432,cui-wd-q180817,,fam-wd-q7309432,8
dish-wd-q19749023,adrem,dish,fam-wd-q19749023,cui-wd-q787497,,fam-wd-q19749023,8
dish-wd-q30599785,Afang,dish,fam-wd-q30599785,cui-wd-q7033037,,fam-wd-q30599785,8
dish-wd-q25055799,Afghan salad,dish,fam-wd-q25055799,cui-wd-q383096,cat-salads-aa3e870c,fam-wd-q25055799,8
dish-wd-q107358883,African Salad,dish,fam-wd-q107358883,cui-wd-q7033037,cat-salads-aa3e870c,fam-wd-q107358883,8
dish-wd-q10725547,Äggakaka,dish,fam-wd-q10725547,,,fam-wd-q10725547,8
dish-wd-q3606603,Agliata,dish,fam-wd-q3606603,cui-wd-q192786,,fam-wd-q3606603,8
dish-wd-q21210955,Agnolini,dish,fam-wd-q21210955,cui-wd-q192786,,fam-wd-q21210955,8
dish-wd-q20051,agnolotti,dish,fam-wd-q20051,cui-wd-q6661,,fam-wd-q20051,8
dish-wd-q19949631,Aguachile,dish,fam-wd-q19949631,cui-wd-q207965,,fam-wd-q19949631,8
dish-wd-q123441,Ahle Wurst,dish,fam-wd-q123441,,,fam-wd-q123441,8
dish-wd-q2827721,Ahriche,dish,fam-wd-q2827721,cui-wd-q1150262,,fam-wd-q2827721,8
dish-wd-q4697660,AirHeads,dish,fam-wd-q4697660,,,fam-wd-q4697660,8
dish-wd-q2828762,Airwaves,dish,fam-wd-q2828762,,,fam-wd-q2828762,8
