dish_family_id,cuisine_id,relation_kind
fam-wd-q6387099,cui-wd-q787497,associated
fam-wd-q6393299,cui-wd-q787497,associated
fam-wd-q85774104,cui-wd-q192087,associated
fam-wd-q3195568,cui-wd-q3006881,associated
fam-wd-q6395436,cui-wd-q787497,associated
fam-wd-q19727704,cui-wd-q787497,associated
fam-wd-q13013252,cui-wd-q841984,associated
fam-wd-q17000111,cui-wd-q841984,associated
fam-wd-q13013315,cui-wd-q841984,associated
fam-wd-q65072654,cui-wd-q841984,associated
fam-wd-q65066634,cui-wd-q1520796,associated
fam-wd-q6404116,cui-wd-q192087,associated
fam-wd-q6405076,cui-wd-q192087,associated
fam-wd-q1275518,cui-wd-q7033037,associated
fam-wd-q3391647,cui-wd-q787497,associated
fam-wd-q13096825,cui-wd-q787497,associated
fam-wd-q2446322,cui-wd-q1503789,associated
fam-wd-q5257857,cui-wd-q787497,associated
fam-wd-q6427832,cui-wd-q654493,associated
fam-wd-q12841103,cui-wd-q654493,associated
fam-wd-q907849,cui-wd-q647500,associated
fam-wd-q1781865,cui-wd-q234138,associated
fam-wd-q6429813,cui-wd-q787497,associated
fam-wd-q540837,cui-wd-q744027,associated
fam-wd-q134475160,cui-wd-q234138,associated
fam-wd-q28455614,cui-wd-q647500,associated
fam-wd-q1197104,cui-wd-q1346230,associated
fam-wd-q6434112,cui-wd-q756020,associated
fam-wd-q2937861,cui-wd-q756020,associated
fam-wd-q19728050,cui-wd-q787497,associated
fam-wd-q21014439,cui-wd-q787497,associated
fam-wd-q7377183,cui-wd-q787497,associated
fam-wd-q97178289,cui-wd-q787497,associated
fam-wd-q17997301,cui-wd-q787497,associated
fam-wd-q25052639,cui-wd-q787497,associated
fam-wd-q12518675,cui-wd-q787497,associated
fam-wd-q60738834,cui-wd-q647500,associated
fam-wd-q6421494,cui-wd-q7033037,associated
fam-wd-q12492887,cui-wd-q787497,associated
fam-wd-q15427731,cui-wd-q654493,associated
fam-wd-q16669050,cui-russian-0a46376e,associated
fam-wd-q16906849,cui-wd-q654493,associated
fam-wd-q137393900,cui-wd-q684343,associated
fam-wd-q3272930,cui-wd-q234138,associated
fam-wd-q1218450,cui-wd-q622512,associated
fam-wd-q6478911,cui-wd-q654493,associated
fam-wd-q12492825,cui-wd-q787497,associated
fam-wd-q30587986,cui-wd-q2234037,associated
fam-wd-q613717,cui-wd-q192786,associated
fam-wd-q575790,cui-wd-q264327,associated
fam-wd-q20034,cui-wd-q192786,associated
fam-wd-q827654,cui-wd-q192087,associated
fam-wd-q4199436,cui-wd-q787497,associated
fam-wd-q12237734,cui-wd-q929239,associated
