dish_family_id,cuisine_id,relation_kind
fam-wd-q100320697,cui-wd-q7033037,associated
fam-wd-q3849360,cui-wd-q192786,associated
fam-wd-q137908295,cui-american-60d23958,associated
fam-wd-q60760541,cui-wd-q1520796,associated
fam-wd-q6789614,cui-wd-q192087,associated
fam-wd-q3853270,cui-wd-q192786,associated
fam-wd-q5367573,cui-wd-q192786,associated
fam-wd-q97101726,cui-wd-q787497,associated
fam-wd-q6807955,cui-wd-q234138,associated
fam-wd-q11343150,cui-wd-q9943666,associated
fam-wd-q1920415,cui-wd-q654493,associated
fam-wd-q6817675,cui-wd-q207965,associated
fam-wd-q6817673,cui-wd-q1520796,associated
fam-wd-q18595468,cui-belgian-f69a2115,associated
fam-wd-q3082973,cui-wd-q6661,associated
fam-wd-q16706914,cui-wd-q47629,associated
fam-wd-q19746250,cui-wd-q787497,associated
fam-wd-q6826082,cui-wd-q207965,associated
fam-wd-q19738539,cui-wd-q787497,associated
fam-wd-q6827067,cui-wd-q841984,associated
fam-wd-q16765345,cui-wd-q787497,associated
fam-wd-q130553333,cui-wd-q787497,associated
fam-wd-q4208661,cui-wd-q787497,associated
fam-wd-q957776,cui-wd-q622512,associated
fam-wd-q935937,cui-wd-q622512,associated
fam-wd-q12491,cui-wd-q6661,associated
fam-wd-q1142998,cui-wd-q1194855,associated
fam-wd-q2485491,cui-belgian-f69a2115,associated
fam-wd-q25043234,cui-wd-q7033037,associated
fam-wd-q112911928,cui-wd-q7033037,associated
fam-wd-q60760520,cui-wd-q1520796,associated
fam-wd-q110533119,cui-wd-q622512,associated
fam-wd-q56307726,cui-wd-q180817,associated
fam-wd-q25617898,cui-wd-q192786,associated
fam-wd-q113159014,cui-wd-q139430,associated
fam-wd-q6899667,cui-wd-q707908,associated
fam-wd-q6904753,cui-american-60d23958,associated
fam-wd-q5056486,cui-wd-q1324207,associated
fam-wd-q25339122,cui-american-60d23958,associated
