from_dish_id,to_dish_id,relation_type,weight
dish-hiyashi-chuka-854c6ffe,dish-hoto-ebad0744,same_category_neighbor,0.350
dish-hoto-ebad0744,dish-tsukemen-9f7293c7,same_category_neighbor,0.350
dish-tsukemen-9f7293c7,dish-sara-udon-58e4fd32,same_category_neighbor,0.350
dish-sara-udon-58e4fd32,dish-tensoba-7e3659f3,same_category_neighbor,0.350
dish-tensoba-7e3659f3,dish-toshikoshi-soba-70e1c16e,same_category_neighbor,0.350
dish-toshikoshi-soba-70e1c16e,dish-somen-9f223db6,same_category_neighbor,0.350
dish-somen-9f223db6,dish-udon-3611d9f6,same_category_neighbor,0.350
dish-udon-3611d9f6,dish-yaki-udon-1c423a9d,same_category_neighbor,0.350
dish-yaki-udon-1c423a9d,dish-yakisoba-b94c7fcd,same_category_neighbor,0.350
dish-yakisoba-b94c7fcd,dish-otaru-ankake-yakisoba-b0790673,same_category_neighbor,0.350
dish-otaru-ankake-yakisoba-b0790673,dish-janchi-guksu-bef84fe7,same_category_neighbor,0.350
dish-janchi-guksu-bef84fe7,dish-jatguksu-e1824712,same_category_neighbor,0.350
dish-jatguksu-e1824712,dish-jjamppong-17850d33,same_category_neighbor,0.350
dish-jjamppong-17850d33,dish-jjolmyeon-8fec4d44,same_category_neighbor,0.350
dish-jjolmyeon-8fec4d44,dish-kalguksu-6f228227,same_category_neighbor,0.350
dish-kalguksu-6f228227,dish-kongguksu-aa26cf67,same_category_neighbor,0.350
dish-kongguksu-aa26cf67,dish-makguksu-1d316c89,same_category_neighbor,0.350
dish-makguksu-1d316c89,dish-milmyeon-98ed1e5c,same_category_neighbor,0.350
dish-milmyeon-98ed1e5c,dish-naengmyeon-6eda9ef1,same_category_neighbor,0.350
dish-naengmyeon-6eda9ef1,dish-tsuivan-54e1ddf7,same_category_neighbor,0.350
dish-tsuivan-54e1ddf7,dish-cellophane-noodles-13530355,same_category_neighbor,0.350
dish-cellophane-noodles-13530355,dish-a-gei-8ff097d0,same_category_neighbor,0.350
dish-a-gei-8ff097d0,dish-eel-noodles-86f4c300,same_category_neighbor,0.350
dish-eel-noodles-86f4c300,dish-nabeyaki-egg-noodles-b836412d,same_category_neighbor,0.350
dish-nabeyaki-egg-noodles-b836412d,dish-neritic-squid-rice-noodles-1c6803d2,same_category_neighbor,0.350
dish-neritic-squid-rice-noodles-1c6803d2,dish-oyster-vermicelli-056b5546,same_category_neighbor,0.350
dish-oyster-vermicelli-056b5546,dish-pumpkin-rice-vermicelli-fad7ec9e,same_category_neighbor,0.350
dish-pumpkin-rice-vermicelli-fad7ec9e,dish-taiwanese-beef-noodle-soup-a7b4d36f,same_category_neighbor,0.350
dish-taiwanese-beef-noodle-soup-a7b4d36f,dish-tshik-a-mi-4bbb29ec,same_category_neighbor,0.350
dish-tshik-a-mi-4bbb29ec,dish-guthuk-5785a5ee,same_category_neighbor,0.350
dish-guthuk-5785a5ee,dish-laping-b6499cd6,same_category_neighbor,0.350
dish-laping-b6499cd6,dish-thenthuk-649c28b9,same_category_neighbor,0.350
dish-thenthuk-649c28b9,dish-wd-q712031,same_category_neighbor,0.350
dish-wd-q712031,dish-thukpa-ed1cffe3,same_category_neighbor,0.350
dish-thukpa-ed1cffe3,dish-kat-kyi-kaik-7d04fffa,same_category_neighbor,0.350
dish-kat-kyi-kaik-7d04fffa,dish-kyay-oh-e0b37854,same_category_neighbor,0.350
dish-kyay-oh-e0b37854,dish-kya-zan-hinga-9201ce73,same_category_neighbor,0.350
dish-kya-zan-hinga-9201ce73,dish-meeshay-2d12cd07,same_category_neighbor,0.350
dish-meeshay-2d12cd07,dish-mohinga-b6a4ff33,same_category_neighbor,0.350
