id,name,normalized_name,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title
fam-wd-q136393819,Bakeapple pie,bakeapple pie,cat-pies-and-pastries-eefde59e,,Q136393819,Bakeapple pie
fam-wd-q540289,Baked Alaska,baked alaska,,cui-american-60d23958,Q540289,Baked Alaska
fam-wd-q138011108,Baked beans pizza,baked beans pizza,cat-flatbreads-and-pizzas-f0961fe2,,Q138011108,Baked beans pizza
fam-wd-q7220887,baked pork chop rice,baked pork chop rice,cat-rice-dishes-e5a0eea5,,Q7220887,Baked pork chop rice
fam-wd-q14954819,baked ziti,baked ziti,,cui-wd-q192786,Q14954819,Baked ziti
fam-wd-q187495,baklava,baklava,cat-pies-and-pastries-eefde59e,,Q187495,Baklava
fam-wd-q1293258,bakmi,bakmi,cat-noodle-dishes-f57723d0,cui-wd-q787497,Q1293258,Bakmi
fam-wd-q16241452,bakpia,bakpia,,,Q16241452,Bakpia
fam-wd-q843795,bakso,bakso,cat-noodle-dishes-f57723d0,cui-wd-q787497,Q843795,Bakso
fam-wd-q4208144,bakwan,bakwan,,cui-wd-q787497,Q4208144,Bakwan
fam-wd-q12473662,balado,balado,,cui-wd-q787497,Q12473662,Balado (food)
fam-wd-q4850911,Balila,balila,,cui-wd-q929239,Q4850911,Balila (dish)
fam-wd-q572275,Balkenbrij,balkenbrij,,,Q572275,Balkenbrij
fam-wd-q3633458,Ballokume,ballokume,,cui-wd-q1199173,Q3633458,Ballokume
fam-wd-q106653772,Balparmak tatlısı,balparmak tatls,,,Q106653772,Balparmak tatlısı
fam-wd-q1083840,balti,balti,,,Q1083840,Balti (food)
fam-wd-q510521,balushahi,balushahi,,cui-wd-q192087,Q510521,Makhan Bada
fam-wd-q1349413,Bamba,bamba,,cui-wd-q62458,Q1349413,Bamba (snack)
fam-wd-q958759,bamiyeh,bamiyeh,,cui-wd-q9943666,Q958759,Bamiyeh
fam-wd-q16172783,banana cake,banana cake,cat-cakes-and-gateaux-d8e29f50,,Q16172783,Banana cake
fam-wd-q125475914,Banana cream pie,banana cream pie,cat-pies-and-pastries-eefde59e,,Q125475914,Banana cream pie
fam-wd-q2564638,bananas Foster,bananas foster,,cui-american-60d23958,Q2564638,Bananas Foster
fam-wd-q107323701,Banga rice,banga rice,cat-rice-dishes-e5a0eea5,cui-wd-q7033037,Q107323701,Banga rice
fam-wd-q2882471,bangers and mash,bangers and mash,,cui-wd-q918277,Q2882471,Bangers and mash
fam-wd-q48880901,bánh đậu xanh,banh au xanh,,cui-wd-q826059,Q48880901,Bánh đậu xanh
fam-wd-q564271,bánh bao,banh bao,cat-dumplings-and-buns-9a441702,cui-wd-q826059,Q564271,Bánh bao
fam-wd-q5004794,bánh bèo,banh beo,,cui-wd-q826059,Q5004794,Bánh bèo
fam-wd-q5004800,bánh cáy,banh cay,,cui-wd-q826059,Q5004800,Bánh cáy
fam-wd-q564567,bánh chưng,banh chung,,cui-wd-q826059,Q564567,Bánh chưng
fam-wd-q118895947,Bánh dày,banh day,,,Q118895947,Bánh dày
fam-wd-q10742207,bánh giày,banh giay,,,Q10742207,Bánh giầy
fam-wd-q5004810,bánh rế,banh re,,cui-wd-q826059,Q5004810,Bánh rế
fam-wd-q5004813,bánh tét,banh tet,,cui-wd-q826059,Q5004813,Bánh tét
fam-wd-q28197390,Bánh tráng nướng,banh trang nuong,,,Q28197390,Bánh tráng nướng
fam-wd-q109429557,Bánh tráng trộn,banh trang tron,,,Q109429557,Bánh tráng trộn
fam-wd-q123124821,Bannu Pulao,bannu pulao,,,Q123124821,Bannu pulao
fam-wd-q3848094,bap,bap,,cui-wd-q647500,Q3848094,Bap (rice dish)
fam-wd-q12197801,Barazek,barazek,,cui-wd-q4119264,Q12197801,Barazek
fam-wd-q2294743,Barbajuan,barbajuan,,,Q2294743,Barbajuan
fam-wd-q1187319,barfi,barfi,,cui-wd-q192087,Q1187319,Barfi
fam-wd-q85745501,barquette,barquette,,,Q85745501,Barquette
fam-wd-q109587599,Barrel chicken,barrel chicken,,cui-wd-q707908,Q109587599,Barrel chicken
fam-wd-q2317875,basbousa,basbousa,,cui-wd-q1346230,Q2317875,Basbousa
fam-wd-q689416,Basler Läckerli,basler lackerli,,,Q689416,Basler Läckerli
fam-wd-q88462839,Basque-style cheesecake,basque style cheesecake,cat-cakes-and-gateaux-d8e29f50,cui-wd-q622512,Q88462839,Basque cheesecake
fam-wd-q2722375,basundi,basundi,,cui-wd-q192087,Q2722375,Basundi
fam-wd-q24951925,batik cake,batik cake,cat-cakes-and-gateaux-d8e29f50,cui-wd-q772247,Q24951925,Batik cake
fam-wd-q534420,Bauernfrühstück,bauernfruhstuck,,cui-wd-q47629,Q534420,Bauernfrühstück
fam-wd-q812609,Bayrisch Kraut,bayrisch kraut,,cui-wd-q47629,Q812609,Bayrisch Kraut
fam-wd-q4164571,Bazeen,bazeen,,,Q4164571,Bazin (bread)
fam-wd-q124053312,Bazirou,bazirou,,,Q124053312,Bazirou
fam-wd-q812684,Bazooka,bazooka,,,Q812684,Bazooka (chewing gum)
fam-wd-q4876265,bean pie,bean pie,cat-pies-and-pastries-eefde59e,cui-american-60d23958,Q4876265,Bean pie
fam-wd-q107416756,beans and corn porridge,beans and corn porridge,cat-breakfast-dishes-7ff5de50,cui-wd-q7033037,Q107416756,Adalu (food)
fam-wd-q64358326,beef and broccoli,beef and broccoli,,cui-american-60d23958,Q64358326,Beef and broccoli
fam-wd-q1022124,beef bourguignon,beef bourguignon,cat-braises-and-roasts-6028fcc9,cui-wd-q6661,Q1022124,Beef bourguignon
fam-wd-q1412680,Beef Wellington,beef wellington,,,Q1412680,Beef Wellington
fam-wd-q4879864,Beemans gum,beemans gum,,,Q4879864,Beemans gum
fam-wd-q30173120,beer can chicken,beer can chicken,,,Q30173120,Beer can chicken
fam-wd-q4880437,beggar's chicken,beggar s chicken,,,Q4880437,Beggar's chicken
fam-wd-q16879307,bekasang,bekasang,,cui-wd-q787497,Q16879307,Bekasang
fam-wd-q62271704,Belgian waffle,belgian waffle,cat-breakfast-dishes-7ff5de50,cui-belgian-f69a2115,Q62271704,Belgian waffle
fam-wd-q2641023,belyash,belyash,,,Q2641023,Peremech
fam-wd-q3638314,Bensone,bensone,,cui-wd-q192786,Q3638314,Bensone
fam-wd-q2897203,berkoukes,berkoukes,,,Q2897203,Berkoukes (dish)
fam-wd-q152526,Berliner,berliner,,cui-wd-q47629,Q152526,Berliner (doughnut)
fam-wd-q824592,Berner Platte,berner platte,,,Q824592,Berner Platte
fam-wd-q4899060,betutu,betutu,,cui-wd-q787497,Q4899060,Betutu
fam-wd-q26806341,beyran,beyran,,cui-wd-q654493,Q26806341,Beyran soup
