entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
ingredient,ing-mealdb-108,Dark Soft Brown Sugar,dark soft brown sugar,en,src-mealdb,true
ingredient,ing-mealdb-109,Dark Soy Sauce,dark soy sauce,en,src-mealdb,true
ingredient,ing-mealdb-110,Demerara Sugar,demerara sugar,en,src-mealdb,true
ingredient,ing-mealdb-111,Diced Tomatoes,diced tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-112,Digestive Biscuits,digestive biscuits,en,src-mealdb,true
ingredient,ing-mealdb-113,Dill,dill,en,src-mealdb,true
ingredient,ing-mealdb-114,Doner Meat,doner meat,en,src-mealdb,true
ingredient,ing-mealdb-115,Double Cream,double cream,en,src-mealdb,true
ingredient,ing-mealdb-116,Dried Oregano,dried oregano,en,src-mealdb,true
ingredient,ing-mealdb-117,Dry White Wine,dry white wine,en,src-mealdb,true
ingredient,ing-mealdb-119,Egg Plants,egg plants,en,src-mealdb,true
ingredient,ing-mealdb-120,Egg Rolls,egg rolls,en,src-mealdb,true
ingredient,ing-mealdb-121,Egg White,egg white,en,src-mealdb,true
ingredient,ing-mealdb-122,Egg Yolks,egg yolks,en,src-mealdb,true
ingredient,ing-mealdb-123,Eggs,eggs,en,src-mealdb,true
ingredient,ing-mealdb-124,Enchilada Sauce,enchilada sauce,en,src-mealdb,true
ingredient,ing-mealdb-125,English Mustard,english mustard,en,src-mealdb,true
ingredient,ing-mealdb-126,Extra Virgin Olive Oil,extra virgin olive oil,en,src-mealdb,true
ingredient,ing-mealdb-127,Fajita Seasoning,fajita seasoning,en,src-mealdb,true
ingredient,ing-mealdb-128,Farfalle,farfalle,en,src-mealdb,true
ingredient,ing-mealdb-130,Fennel Bulb,fennel bulb,en,src-mealdb,true
ingredient,ing-mealdb-130,fennel,fennel,en,src-foodon,false
ingredient,ing-mealdb-130,<http://purl.obolibrary.org/obo/FOODON_03411262>,http purl obolibrary org obo foodon 03411262,en,src-foodon,false
ingredient,ing-mealdb-131,Fennel Seeds,fennel seeds,en,src-mealdb,true
ingredient,ing-mealdb-132,Fenugreek,fenugreek,en,src-mealdb,true
ingredient,ing-mealdb-133,Feta,feta,en,src-mealdb,true
ingredient,ing-mealdb-134,Fish Sauce,fish sauce,en,src-mealdb,true
ingredient,ing-mealdb-135,Flaked Almonds,flaked almonds,en,src-mealdb,true
ingredient,ing-mealdb-136,Flax Eggs,flax eggs,en,src-mealdb,true
ingredient,ing-mealdb-137,Flour,flour,en,src-mealdb,true
ingredient,ing-mealdb-138,Flour Tortilla,flour tortilla,en,src-mealdb,true
ingredient,ing-mealdb-139,Floury Potatoes,floury potatoes,en,src-mealdb,true
ingredient,ing-mealdb-140,"Free-range Egg, Beaten",free range egg beaten,en,src-mealdb,true
ingredient,ing-mealdb-141,"Free-range Eggs, Beaten",free range eggs beaten,en,src-mealdb,true
ingredient,ing-mealdb-142,French Lentils,french lentils,en,src-mealdb,true
ingredient,ing-mealdb-143,Fresh Basil,fresh basil,en,src-mealdb,true
